SEXO,média,mediana,desvio,Q1,Q3,P10,P90,IQR,CV,contagem
Feminino,547.5230712890625,539.760009765625,83.94884490966797,484.27996826171875,605.4600219726562,443.46002197265625,664.1600341796875,121.1800537109375,0.15332476794719696,1356087.0
Masculino,547.6923217773438,539.9600219726562,84.14302825927734,484.32000732421875,605.760009765625,443.29998779296875,664.6799926757812,121.44000244140625,0.15363192558288574,918894.0
